,appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price
10399,0.001,1,0,0,117,35,14,14,0.0
10400,0.001,1,0,15,378,83,20,20,14.99
10401,0.001,1,0,25,5,0,0,0,3.99
10402,0.001,1,0,0,2,7,0,0,6.99
10403,0.001,1,0,0,6,13,0,0,14.99
10404,0.001,1,0,0,16,7,0,0,4.79
10405,0.001,1,0,0,19,30,0,0,1.99
10406,0.001,1,0,0,72,18,262,292,0.79
10407,0.001,1,0,0,44,9,0,0,10.99
10408,0.001,1,0,0,2253,581,98,37,0.0
10409,0.001,1,0,18,262,4,0,0,3.99
10410,0.001,1,0,7,19,9,0,0,1.69
10411,0.001,1,0,27,61,43,3,3,0.0
10412,0.001,1,0,0,38,12,0,0,3.99
10413,0.001,1,0,0,10,2,0,0,3.99
10414,0.001,1,0,0,52,78,206,221,0.79
10415,0.001,1,0,14,11,0,0,0,3.99
10416,0.001,1,0,0,6,14,0,0,2.89
10417,0.001,1,0,5,51,2,0,0,0.79
10418,0.001,1,0,0,13,0,0,0,2.79
10419,0.001,1,0,12,20,10,300,300,0.79
10420,0.001,1,0,18,1045,92,856,856,18.99
10421,0.001,1,18,0,4,4,0,0,1.99
10422,0.001,1,0,35,5484,269,394,463,10.99
10423,0.001,1,0,24,9,2,0,0,0.0
10424,0.001,1,0,0,784,1079,36,51,0.0
10425,0.001,1,0,0,11,6,0,0,10.99
10426,0.001,1,0,0,6,1,0,0,6.99
10427,0.001,1,0,0,7,3,0,0,1.59
10428,0.001,1,0,47,52,22,0,0,6.99
10429,0.001,1,0,12,40,12,0,0,0.0
10430,0.001,1,0,28,1087,216,102,102,1.99
10431,0.001,1,0,0,4,4,0,0,4.79
10432,0.001,1,0,6,38,2,0,0,0.79
10433,0.001,1,0,0,3,2,0,0,3.99
10434,0.001,1,0,0,24,15,0,0,7.99
10435,0.001,1,0,36,160,126,0,0,14.99
10436,0.001,1,0,24,17,2,0,0,5.59
10437,0.001,1,0,0,1,0,0,0,1.99
10438,0.001,1,0,34,62,82,0,0,6.99
10439,0.001,1,0,40,100,84,0,0,3.99
10440,0.001,1,0,7,60,6,298,298,1.99
10441,0.001,1,0,0,140,14,0,0,3.99
10442,0.001,1,0,33,50,78,0,0,7.99
10443,0.001,1,0,0,37,17,0,0,4.99
10444,0.001,1,0,13,81,71,142,148,0.0
10445,0.001,1,0,9,1072,136,7,11,0.0
10446,0.001,1,0,28,20,28,0,0,6.99
10447,0.001,1,0,64,76,11,0,0,6.99
10448,0.001,1,0,0,120,7,0,0,0.0
10449,0.001,1,0,21,1839,260,282,297,1.99
10450,0.001,1,0,18,61,83,235,270,3.19
10451,0.001,1,0,0,31,14,299,326,3.19
10452,0.001,1,0,8,45,27,0,0,3.99
10453,0.001,1,0,0,1655,619,22,14,0.0
10454,0.001,1,0,0,142,71,238,248,0.79
10455,0.001,1,0,15,22,11,0,0,4.79
10456,0.001,1,0,8,38,82,238,276,1.59
10457,0.001,1,0,18,6,1,264,284,2.09
10458,0.001,1,0,0,79,10,214,223,1.99
10459,0.001,1,0,24,84,67,207,217,0.79
10460,0.001,1,0,8,66,64,276,302,3.19
10461,0.001,1,0,13,32,12,0,0,15.49
10462,0.001,1,0,36,15934,8556,1264,594,15.49
10463,0.001,1,0,0,28,15,0,0,0.79
10464,0.001,1,0,0,46,111,0,0,4.79
10465,0.001,1,0,0,8,14,0,0,1.69
10466,0.001,1,0,27,1160,348,219,234,0.79
10467,0.001,1,0,0,13,5,0,0,4.79
10468,0.001,1,0,0,3,10,0,0,1.99
10469,0.001,1,0,6,28,10,234,234,3.99
10470,0.001,1,0,36,7,1,0,0,6.99
10471,0.001,1,0,0,31,6,0,0,2.89
10472,0.001,1,0,8,40,17,0,0,1.59
10473,0.001,1,0,20,225,23,0,0,6.99
10474,0.001,1,0,2,7,2,0,0,3.99
10475,0.001,1,0,0,14,51,0,0,3.99
10476,0.001,1,0,19,10,0,0,0,2.09
10477,0.001,1,0,13,42,9,322,322,1.69
10478,0.001,1,0,31,30,22,0,0,1.99
10479,0.001,1,0,0,20,10,0,0,10.99
10480,0.001,1,0,0,7,1,0,0,4.99
10481,0.001,1,0,0,14,5,0,0,6.99
10482,0.001,1,0,34,103,15,0,0,6.99
10483,0.001,1,0,0,8,4,0,0,6.99
10484,0.001,1,0,0,20,9,0,0,6.99
10485,0.001,1,0,0,51,7,0,0,6.99
10486,0.001,1,0,0,24,9,0,0,6.99
10487,0.001,1,0,0,24,11,0,0,6.99
10488,0.001,1,0,59,6,1,0,0,3.99
10489,0.001,1,0,26,9,3,0,0,5.59
10490,0.001,1,0,14,56,67,0,0,2.49
10491,0.001,1,0,8,52,54,0,0,6.99
10492,0.001,1,0,43,490,34,125,125,14.99
10493,0.001,1,0,15,57,5,0,0,2.79
10494,0.001,1,0,0,7,5,0,0,0.79
10495,0.001,1,0,13,3,1,0,0,0.79
10496,0.001,1,0,0,7,2,0,0,2.99
10497,0.001,1,0,0,43,27,0,0,0.0
10498,0.001,1,0,0,15,6,0,0,3.99
10499,0.001,1,0,0,41,56,0,0,7.19
10500,0.001,1,0,0,41,22,0,0,0.79
10501,0.001,1,0,0,48,33,232,232,0.79
10502,0.001,1,0,0,31,47,232,232,0.79
10503,0.001,1,0,0,26,41,222,222,0.79
10504,0.001,1,0,0,185,62,0,0,11.99
10505,0.001,1,0,0,0,1,0,0,6.99
10506,0.001,1,0,14,6,3,0,0,0.99
10507,0.001,1,0,50,1,1,0,0,9.29
10508,0.001,1,0,34,3,0,246,246,10.29
10509,0.001,1,0,0,9,18,0,0,3.99
10510,0.001,1,0,14,7,7,0,0,9.99
10511,0.001,1,0,40,178,29,176,176,1.69
10512,0.001,1,0,19,168,5,296,296,7.19
10513,0.001,1,0,22,11,2,0,0,3.99
10514,0.001,1,0,9,41,6,0,0,1.99
10515,0.001,1,0,18,119,48,268,239,1.99
10516,0.001,1,0,50,39,26,0,0,6.99
10517,0.001,1,0,0,15,3,0,0,6.99
10518,0.001,0,0,6,0,11,251,251,4.79
10519,0.001,1,0,0,2,1,0,0,6.99
10520,0.001,1,0,0,2,0,0,0,6.99
10521,0.001,1,0,0,1,0,0,0,6.99
10522,0.001,1,0,0,6,0,0,0,5.19
10523,0.001,1,0,0,1,0,0,0,6.99
10524,0.001,1,0,0,4,0,0,0,4.99
10525,0.001,1,0,30,9,8,0,0,3.99
10526,0.001,1,0,23,24,5,0,0,3.99
10527,0.001,1,0,32,6,3,0,0,3.99
10528,0.001,1,0,26,52,6,0,0,15.49
10529,0.001,1,3,19,2,0,0,0,7.19
10530,0.001,1,0,30,60,10,0,0,0.79
10531,0.001,1,16,19,2468,583,91,91,22.99
10532,0.001,1,0,1224,219,72,0,0,3.99
10533,0.001,1,0,19,6,3,0,0,1.59
10534,0.001,1,0,39,53,40,0,0,6.99
10535,0.001,1,0,42,7,1,0,0,3.99
10536,0.001,1,0,0,14,0,0,0,3.99
10537,0.001,1,0,0,203,11,14,14,0.0
10538,0.001,1,0,17,1480,196,112,155,1.99
10539,0.001,1,0,23,1585,698,0,0,26.99
10540,0.001,0,0,0,1,3,0,0,3.99
10541,0.001,1,0,50,3375,685,1164,1453,44.99
10542,0.001,1,0,19,20,11,0,0,0.0
10543,0.001,1,0,10,169,60,0,0,18.99
10544,0.001,1,0,0,284,193,476,492,0.79
10545,0.001,1,0,8,123,157,212,224,0.79
10546,0.001,1,0,13,164,16,19,19,0.79
10547,0.001,1,0,55,104,10,0,0,5.99
10548,0.001,1,0,9,59,74,222,231,0.79
10549,0.001,1,0,0,9,2,0,0,0.0
10550,0.001,1,0,12,12,4,0,0,1.99
10551,0.001,1,0,91,6,0,0,0,3.99
10552,0.001,1,0,0,2,7,0,0,4.79
10553,0.001,1,0,25,92,48,5402,10579,0.79
10554,0.001,1,0,16,28,31,0,0,6.99
10555,0.001,1,0,0,1,0,0,0,1.99
10556,0.001,1,0,21,16,1,0,0,3.99
10557,0.001,1,0,77,16,2,0,0,15.99
10558,0.001,1,0,14,13,8,0,0,2.79
10559,0.001,1,0,49,324,24,102,102,14.99
10560,0.001,1,0,26,9,1,0,0,1.99
10561,0.001,1,0,33,94,30,0,0,15.49
10562,0.001,1,0,0,10,15,0,0,10.99
10563,0.001,1,0,10,21,8,194,194,2.09
10564,0.001,1,0,0,63,11,0,0,6.99
10565,0.001,1,0,0,15,4,0,0,3.99
10566,0.001,1,0,0,8,1,0,0,1.59
10567,0.001,1,0,55,1,1,0,0,4.79
10568,0.001,1,0,0,13,6,0,0,0.0
10569,0.001,1,0,20,245,2,0,0,0.79
10570,0.001,1,0,0,15,2,0,0,1.69
10571,0.001,1,0,0,433,193,2,3,0.0
10572,0.001,1,0,0,5,0,0,0,3.99
10573,0.001,1,0,0,2,2,0,0,3.99
10574,0.001,1,0,0,10,1,0,0,1.59
10575,0.001,1,0,0,12,6,0,0,3.99
10576,0.001,1,0,8,19,0,0,0,12.0
10577,0.001,1,0,12,42,3,0,0,4.99
10578,0.001,1,0,0,71,25,0,0,14.99
10579,0.001,1,0,16,374,11,0,0,7.19
10580,0.001,1,0,0,9,3,0,0,6.99
10581,0.001,1,0,0,3,1,0,0,6.99
10582,0.001,1,0,0,9,7,0,0,2.09
10583,0.001,1,0,0,0,6,0,0,10.99
10584,0.001,1,0,0,1,1,0,0,6.99
10585,0.001,1,0,64,12847,1309,2191,2229,10.99
10586,0.001,1,0,21,16,2,0,0,6.99
10587,0.001,1,0,0,3,0,0,0,0.79
10588,0.001,1,0,12,50,4,0,0,2.89
10589,0.001,1,0,11,2,1,0,0,6.99
10590,0.001,1,0,38,19,4,0,0,11.99
10591,0.001,1,0,0,3,0,0,0,2.79
10592,0.001,1,0,7,8,6,0,0,2.09
10593,0.001,1,0,5,24,5,0,0,2.79
10594,0.001,1,0,0,5,7,258,271,0.79
10595,0.001,1,0,29,4,1,0,0,10.99
10596,0.001,1,0,0,109,24,135,247,6.99
10597,0.001,1,0,0,22,24,210,217,0.79
10598,0.001,1,0,0,44,22,0,0,18.99
10599,0.001,1,0,0,9,11,0,0,3.99
10600,0.001,1,0,30,11,0,0,0,7.19
10601,0.001,1,0,7,12,3,52,52,5.19
10602,0.001,1,0,0,457,57,0,0,12.39
10603,0.001,1,0,30,13,6,0,0,6.99
10604,0.001,1,0,0,308,58,84,110,11.39
10605,0.001,1,0,0,32,6,0,0,15.49
10606,0.001,1,0,14,3,0,0,0,1.69
10607,0.001,1,0,56,23,2,0,0,10.29
10608,0.001,1,0,0,17,4,0,0,6.99
10609,0.001,1,0,29,14,1,0,0,6.99
10610,0.001,1,0,35,3,6,0,0,2.89
10611,0.001,1,0,0,10,17,0,0,14.99
10612,0.001,1,0,5,13,6,0,0,10.99
10613,0.001,1,0,0,4,4,0,0,6.19
